budget,revenue,popularity,vote_average,runtime,original_language,imdb_rating,year,month,season,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,director_is_top,actor_is_top,roi,hit
1000000.0,4686844.0,1.966,7.0,103.0,es,7.3,1997,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3.686844,0
7000000.0,60611975.0,7.0984,7.8,98.0,en,8.1,1996,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.658853571428572,1
25000000.0,28341469.0,48.1974,8.719,142.0,en,9.3,1994,9,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13365876,1
42000000.0,7959291.0,2.8618,7.0,145.0,en,7.2,1995,10,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.8104930714285714,0
3000000.0,25000000.0,5.6745,8.2,126.0,en,8.3,1960,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7.333333333333333,1
7000000.0,50888000.0,3.1965,6.6,108.0,en,7.0,1988,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.269714285714286,1
730000.0,8000000.0,4.4763,7.7,85.0,en,7.9,1952,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9.95890410958904,0
878000.0,10462500.0,8.7096,8.1,102.0,en,8.5,1943,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10.916287015945331,0
9000000.0,6153939.0,3.2455,7.465,117.0,en,7.6,1991,8,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.316229,0
2600000.0,3166000.0,0.86,7.6,105.0,en,7.8,2004,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21769230769230768,0
3000000.0,11718595.0,2.2766,6.8,100.0,en,7.2,2005,9,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.906198333333333,0
12000000.0,43440294.0,6.0026,7.0,123.0,en,7.2,1992,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6200245,1
350000.0,2400000.0,1.4866,7.0,91.0,en,7.1,1985,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.857142857142857,0
6000000.0,9524340.0,1.8646,7.0,106.0,fr,7.2,2006,6,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.58739,0
1200000.0,5750000.0,5.7698,7.8,141.0,en,7.9,1959,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7916666666666665,0
7800000.0,22441323.0,2.0097,6.5,102.0,en,6.7,2003,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8770926923076923,1
